,0,1,2,3,4,5,6,7,8
0,ФИО_0,63.9,t,"АО ""ТВЭЛ"" 1",3,63.9,t,"АО ""ТВЭЛ"" 1",3.0
1,ФИО_1,19.18,t,ЛУЧTimes,2,19.18,t,ЛУЧTimes,2.0
2,ФИО_2,13.78,s,13.78,s,,,,
3,ФИО_3,38.48,s,38.48,s,,,,
4,ФИО_4,48,t,КМТ,2,48,t,КМТ,2.0
5,ФИО_5,59.38,t,МАЯК ЯОК,3,59.38,t,МАЯК ЯОК,3.0
6,ФИО_6,18.48,t,ГУАП,2,18.48,t,ГУАП,2.0
7,ФИО_7,43.45,t,АО АСЭ-2,2,43.45,t,АО АСЭ-2,2.0
8,ФИО_8,35.22,s,35.22,s,,,,
9,ФИО_9,5,t,"АО ""ЕВРАЗ ЗСМК""",4,5,t,"АО ""ЕВРАЗ ЗСМК""",4.0
10,ФИО_10,38.02,t,"Рабочее место 10 Команда ""АЭМ-""ПЗМ""",2,38.02,t,"Рабочее место 10 Команда ""АЭМ-""ПЗМ""",2.0
11,ФИО_11,64.1,t,ТВЭЛ,4,64.1,t,ТВЭЛ,4.0
12,ФИО_12,32.64,s,32.64,s,,,,
13,ФИО_13,60.1,s,60.1,s,,,,
14,ФИО_14,43.58,s,43.58,s,,,,
15,ФИО_15,48.25,s,48.25,s,,,,
16,ФИО_16,48,t,№ 2,2,48,t,№ 2,2.0
17,ФИО_17,69.17,t,АСЭ Team-1,3,69.17,t,АСЭ Team-1,3.0
18,ФИО_18,85.35,t,Концерн,2,85.35,t,Концерн,2.0
19,ФИО_19,5,t,ВНИПИ_в_координатах,4,5,t,ВНИПИ_в_координатах,4.0
20,ФИО_20,83.44,t,"АО ""ТВЭЛ""",3,83.44,t,"АО ""ТВЭЛ""",3.0
21,ФИО_21,56.5,t,Альфа,2,56.5,t,Альфа,2.0
22,ФИО_22,38.4,t,Бабенко/Трифонов ЯОК,2,38.4,t,Бабенко/Трифонов ЯОК,2.0
23,ФИО_23,32.98,s,32.98,s,,,,
24,ФИО_24,5,t,МАЯК_1,4,5,t,МАЯК_1,4.0
25,ФИО_25,44.54,t,"АО ""ТВЭЛ"" 2",7,44.54,t,"АО ""ТВЭЛ"" 2",7.0
26,ФИО_26,72.05,t,Горнорудный дивизион,2,72.05,t,Горнорудный дивизион,2.0
27,ФИО_27,62.02,t,"АО ""ТВЭЛ"" 2",4,62.02,t,"АО ""ТВЭЛ"" 2",4.0
28,ФИО_28,54.71,t,АЭП_2_Енотики_и_точка,4,54.71,t,АЭП_2_Енотики_и_точка,4.0
29,ФИО_29,41.88,t,Концерн команда-2,7,41.88,t,Концерн команда-2,7.0
30,ФИО_30,79.37,t,ОДИЦ,4,79.37,t,ОДИЦ,4.0
31,ФИО_31,5,t,ВНИПИ_в_координатах,4,5,t,ВНИПИ_в_координатах,4.0
32,ФИО_32,61.82,s,61.82,s,,,,
33,ФИО_33,42.69,t,"АО ""ТВЭЛ"" 1",7,42.69,t,"АО ""ТВЭЛ"" 1",7.0
34,ФИО_34,60.29,s,60.29,s,,,,
35,ФИО_35,51.27,t,"АО ""Русатом Оверсиз""",2,51.27,t,"АО ""Русатом Оверсиз""",2.0
36,ФИО_36,5,t,ВНИПИ_1,4,5,t,ВНИПИ_1,4.0
37,ФИО_37,56.81,s,56.81,s,,,,
38,ФИО_38,35.95,s,35.95,s,,,,
39,ФИО_39,59.39,t,"ЯОК ""МАЯК""",7,59.39,t,"ЯОК ""МАЯК""",7.0
40,ФИО_40,61.71,t,ПЗМ,3,61.71,t,ПЗМ,3.0
41,ФИО_41,66.78,t,"АО ""РИР"" Team-2",3,66.78,t,"АО ""РИР"" Team-2",3.0
42,ФИО_42,69.9,s,69.9,s,,,,
43,ФИО_43,59.35,s,59.35,s,,,,
44,ФИО_44,60.84,s,60.84,s,,,,
45,ФИО_45,63.25,t,№ 5,2,63.25,t,№ 5,2.0
46,ФИО_46,18.83,s,18.83,s,,,,
47,ФИО_47,10.94,s,10.94,s,,,,
48,ФИО_48,5,t,ГСПИ_2,4,5,t,ГСПИ_2,4.0
49,ФИО_49,59.39,s,59.39,s,,,,
50,ФИО_50,45.84,t,"ФГУП ""ПСЗ""",2,45.84,t,"ФГУП ""ПСЗ""",2.0
51,ФИО_51,13.64,t,НИЯУ МИФИ,2,13.64,t,НИЯУ МИФИ,2.0
52,ФИО_52,52.72,s,52.72,s,,,,
53,ФИО_53,36.01,s,36.01,s,,,,
54,ФИО_54,44.88,t,"АО ""Атомэнергомаш""",2,44.88,t,"АО ""Атомэнергомаш""",2.0
55,ФИО_55,64.96,t,НИЯУ МИФИ 2,2,64.96,t,НИЯУ МИФИ 2,2.0
56,ФИО_56,5,t,МАЯК_1,4,5,t,МАЯК_1,4.0
57,ФИО_57,19.89,s,19.89,s,,,,
58,ФИО_58,39.07,s,39.07,s,,,,
59,ФИО_59,65.17,t,Экологические решения,3,65.17,t,Экологические решения,3.0
60,ФИО_60,88.25,t,№ 6,2,88.25,t,№ 6,2.0
61,ФИО_61,35.18,s,35.18,s,,,,
62,ФИО_62,59.39,t,"ЯОК ""МАЯК""",7,59.39,t,"ЯОК ""МАЯК""",7.0
63,ФИО_63,5,t,ГСПИ_2,4,5,t,ГСПИ_2,4.0
64,ФИО_64,56.36,t,"АО ""ТВЭЛ"" 2",3,56.36,t,"АО ""ТВЭЛ"" 2",3.0
65,ФИО_65,7.51,s,7.51,s,,,,
66,ФИО_66,42.69,t,"АО ""ТВЭЛ"" 1",7,42.69,t,"АО ""ТВЭЛ"" 1",7.0
67,ФИО_67,55.65,s,55.65,s,,,,
68,ФИО_68,9.8,t,ГУАП,2,9.8,t,ГУАП,2.0
69,ФИО_69,51.27,t,"АО ""Русатом Оверсиз""",2,51.27,t,"АО ""Русатом Оверсиз""",2.0
70,ФИО_70,16.23,s,16.23,s,,,,
71,ФИО_71,45.05,t,РАО,2,45.05,t,РАО,2.0
72,ФИО_72,73.33,t,ВНИИА ЯОК,2,73.33,t,ВНИИА ЯОК,2.0
73,ФИО_73,71.02,s,71.02,s,,,,
74,ФИО_74,64.88,t,"ЯОК ""ЭХП""",7,64.88,t,"ЯОК ""ЭХП""",7.0
75,ФИО_75,56.03,t,"Команда ""АСЭ""",7,56.03,t,"Команда ""АСЭ""",7.0
76,ФИО_76,49.86,s,49.86,s,,,,
77,ФИО_77,59.52,s,59.52,s,,,,
78,ФИО_78,43,t,ЯОК МАЯК,3,43,t,ЯОК МАЯК,3.0
79,ФИО_79,5,t,ВНИПИ_в_координатах,4,5,t,ВНИПИ_в_координатах,4.0
80,ФИО_80,42.69,t,"АО ""ТВЭЛ"" 1",7,42.69,t,"АО ""ТВЭЛ"" 1",7.0
81,ФИО_81,54.04,s,54.04,s,,,,
82,ФИО_82,73.53,t,БалАЭС,3,73.53,t,БалАЭС,3.0
83,ФИО_83,72.93,s,72.93,s,,,,
84,ФИО_84,65.42,s,65.42,s,,,,
85,ФИО_85,54.385,t,АЭП_1_ЛюBIMки,4,54.385,t,АЭП_1_ЛюBIMки,4.0
86,ФИО_86,40.55,s,40.55,s,,,,
87,ФИО_87,44.57,t,"Рабочее место 6 Команда ""АЭМ-""ОКБМ""",2,44.57,t,"Рабочее место 6 Команда ""АЭМ-""ОКБМ""",2.0
88,ФИО_88,63.74,s,63.74,s,,,,
89,ФИО_89,58.52,s,58.52,s,,,,
90,ФИО_90,23.76,s,23.76,s,,,,
91,ФИО_91,44.85,s,44.85,s,,,,
92,ФИО_92,47.53,s,47.53,s,,,,
93,ФИО_93,26.24,s,26.24,s,,,,
94,ФИО_94,44.91,t,"АО ""РАСУ""",2,44.91,t,"АО ""РАСУ""",2.0
95,ФИО_95,49.56,s,49.56,s,,,,
96,ФИО_96,47.99,s,47.99,s,,,,
97,ФИО_97,4.8,t,"АО ""ТВЭЛ"" 1",2,4.8,t,"АО ""ТВЭЛ"" 1",2.0
98,ФИО_98,13.64,t,НИЯУ МИФИ,2,13.64,t,НИЯУ МИФИ,2.0
99,ФИО_99,40.31,t,ИАТЭ МИФИ,4,40.31,t,ИАТЭ МИФИ,4.0
100,ФИО_100,39.92,s,39.92,s,,,,
101,ФИО_101,36.3,s,36.3,s,,,,
102,ФИО_102,79.37,t,ОДИЦ,4,79.37,t,ОДИЦ,4.0
103,ФИО_103,67.04,t,"Райан Гослинг (АО ""НИИграфит"")",2,67.04,t,"Райан Гослинг (АО ""НИИграфит"")",2.0
104,ФИО_104,7.34,t,НИТИ,2,7.34,t,НИТИ,2.0
105,ФИО_105,69.12,t,МИФИ,3,69.12,t,МИФИ,3.0
106,ФИО_106,86.61,t,Нововоронежская АЭС,4,86.61,t,Нововоронежская АЭС,4.0
107,ФИО_107,22.1,s,22.1,s,,,,
108,ФИО_108,46.78,s,46.78,s,,,,
109,ФИО_109,48.63,s,48.63,s,,,,
110,ФИО_110,15.45,s,15.45,s,,,,
111,ФИО_111,5,t,"АО ""ТВЭЛ"" 1",4,5,t,"АО ""ТВЭЛ"" 1",4.0
112,ФИО_112,40.31,t,ИАТЭ МИФИ,4,40.31,t,ИАТЭ МИФИ,4.0
113,ФИО_113,59.78,t,"АО ""КОНСИСТ-ОС""",2,59.78,t,"АО ""КОНСИСТ-ОС""",2.0
114,ФИО_114,5,t,ВНИПИ_1,4,5,t,ВНИПИ_1,4.0
115,ФИО_115,44.63,s,44.63,s,,,,
116,ФИО_116,84.86,s,84.86,s,,,,
117,ФИО_117,83.31,s,83.31,s,,,,
118,ФИО_118,42.35,s,42.35,s,,,,
119,ФИО_119,19.04,t,"Галкина/Озеров ""АЭМ-""ЦКБМ-1""",2,19.04,t,"Галкина/Озеров ""АЭМ-""ЦКБМ-1""",2.0
120,ФИО_120,66.78,t,"АО ""РИР"" Team-2",3,66.78,t,"АО ""РИР"" Team-2",3.0
121,ФИО_121,16.75,s,16.75,s,,,,
122,ФИО_122,67.93,s,67.93,s,,,,
123,ФИО_123,77.88,t,"АО ""КОНЦЕРН ТИТАН 2"" Команд 1",3,77.88,t,"АО ""КОНЦЕРН ТИТАН 2"" Команд 1",3.0
124,ФИО_124,73.53,t,БалАЭС,3,73.53,t,БалАЭС,3.0
125,ФИО_125,39.28,s,39.28,s,,,,
126,ФИО_126,2.38,t,ФГБОУ НИУ МЭИ,2,2.38,t,ФГБОУ НИУ МЭИ,2.0
127,ФИО_127,68,t,№ 7,2,68,t,№ 7,2.0
128,ФИО_128,68.39,t,"Команда ""АЭМ-1""",7,68.39,t,"Команда ""АЭМ-1""",7.0
129,ФИО_129,32.97,s,32.97,s,,,,
130,ФИО_130,5,t,МАЯК_1,4,5,t,МАЯК_1,4.0
131,ФИО_131,80.91,t,ЭХП,3,80.91,t,ЭХП,3.0
132,ФИО_132,62.02,t,"АО ""ТВЭЛ"" 2",4,62.02,t,"АО ""ТВЭЛ"" 2",4.0
133,ФИО_133,5,t,"АО ""ТВЭЛ"" 1",4,5,t,"АО ""ТВЭЛ"" 1",4.0
134,ФИО_134,65.58,s,65.58,s,,,,
135,ФИО_135,55.99,t,Маяк-2,4,55.99,t,Маяк-2,4.0
136,ФИО_136,28.37,s,28.37,s,,,,
137,ФИО_137,79.38,t,"АО ""РИР""",3,79.38,t,"АО ""РИР""",3.0
138,ФИО_138,4.03,t,"АО ""ТВЭЛ"" 2",2,4.03,t,"АО ""ТВЭЛ"" 2",2.0
139,ФИО_139,5,t,"АО ""ТВЭЛ"" 1",4,5,t,"АО ""ТВЭЛ"" 1",4.0
140,ФИО_140,47.23,s,47.23,s,,,,
141,ФИО_141,57.89,s,57.89,s,,,,
142,ФИО_142,65.17,t,Экологические решения,3,65.17,t,Экологические решения,3.0
143,ФИО_143,22,t,"АО ""РИР"" Team-1",3,22,t,"АО ""РИР"" Team-1",3.0
144,ФИО_144,37,t,ВНИИЭФ,2,37,t,ВНИИЭФ,2.0
145,ФИО_145,40.97,t,Браво,2,40.97,t,Браво,2.0
146,ФИО_146,46.79,t,Чарли,2,46.79,t,Чарли,2.0
147,ФИО_147,50.7,s,50.7,s,,,,
148,ФИО_148,49.38,s,49.38,s,,,,
149,ФИО_149,42.33,s,42.33,s,,,,
150,ФИО_150,37.13,s,37.13,s,,,,
151,ФИО_151,58.83,t,"Команда ""АЭМ-2""",7,58.83,t,"Команда ""АЭМ-2""",7.0
152,ФИО_152,31.26,s,31.26,s,,,,
153,ФИО_153,27.37,s,27.37,s,,,,
154,ФИО_154,39.41,s,39.41,s,,,,
155,ФИО_155,41.12,s,41.12,s,,,,
156,ФИО_156,60.7,s,60.7,s,,,,
157,ФИО_157,44.65,t,Тузовский/Демешкевич ЯОК,2,44.65,t,Тузовский/Демешкевич ЯОК,2.0
158,ФИО_158,72.05,t,Горнорудный дивизион,2,72.05,t,Горнорудный дивизион,2.0
159,ФИО_159,42.37,s,42.37,s,,,,
160,ФИО_160,44.61,t,"Денисов/Казикин АО ""ТВЭЛ"" 1",2,44.61,t,"Денисов/Казикин АО ""ТВЭЛ"" 1",2.0
161,ФИО_161,31.96,s,31.96,s,,,,
162,ФИО_162,64.1,t,ТВЭЛ,4,64.1,t,ТВЭЛ,4.0
163,ФИО_163,39.56,s,39.56,s,,,,
164,ФИО_164,61.26,t,"АО ""АЭС"" АО ""Консист-ОС""",2,61.26,t,"АО ""АЭС"" АО ""Консист-ОС""",2.0
165,ФИО_165,49.07,t,Концерн команда-1,7,49.07,t,Концерн команда-1,7.0
166,ФИО_166,15,t,Экологические решения,3,15,t,Экологические решения,3.0
167,ФИО_167,11.41,t,ГПН ЦР,2,11.41,t,ГПН ЦР,2.0
168,ФИО_168,20.07,s,20.07,s,,,,
169,ФИО_169,37.25,s,37.25,s,,,,
170,ФИО_170,56.81,s,56.81,s,,,,
171,ФИО_171,44.61333333,t,Рабочее место 2   Концерн команда 2,2,44.61333333,t,Рабочее место 2   Концерн команда 2,2.0
172,ФИО_172,57.6,s,57.6,s,,,,
173,ФИО_173,63.23,t,Рос СЭМ,3,63.23,t,Рос СЭМ,3.0
174,ФИО_174,45.9,s,45.9,s,,,,
175,ФИО_175,70.78,t,НИКИМТ,3,70.78,t,НИКИМТ,3.0
176,ФИО_176,68.39,t,"Команда ""АЭМ-1""",7,68.39,t,"Команда ""АЭМ-1""",7.0
177,ФИО_177,61.71,t,ПЗМ,3,61.71,t,ПЗМ,3.0
178,ФИО_178,70.33,s,70.33,s,,,,
179,ФИО_179,48.06,s,48.06,s,,,,
180,ФИО_180,66.78,t,"АО ""РИР"" Team-2",3,66.78,t,"АО ""РИР"" Team-2",3.0
181,ФИО_181,79.38,t,"АО ""РИР""",3,79.38,t,"АО ""РИР""",3.0
182,ФИО_182,5,t,ГСПИ_1,4,5,t,ГСПИ_1,4.0
183,ФИО_183,46.95,s,46.95,s,,,,
184,ФИО_184,5,t,МАЯК_2_Фрэшмены,3,5,t,МАЯК_2_Фрэшмены,3.0
185,ФИО_185,55.5,t,№ 8,2,55.5,t,№ 8,2.0
186,ФИО_186,69.04,t,ЛУЧ,3,69.04,t,ЛУЧ,3.0
187,ФИО_187,4.34,t,Элерон,2,4.34,t,Элерон,2.0
188,ФИО_188,62.67,s,62.67,s,,,,
189,ФИО_189,55.99,t,Маяк-2,4,55.99,t,Маяк-2,4.0
190,ФИО_190,5,t,"АО ""ЕВРАЗ ЗСМК""",4,5,t,"АО ""ЕВРАЗ ЗСМК""",4.0
191,ФИО_191,38.11,s,38.11,s,,,,
192,ФИО_192,26,s,26,s,,,,
193,ФИО_193,68.39,t,"Команда ""АЭМ-1""",7,68.39,t,"Команда ""АЭМ-1""",7.0
194,ФИО_194,48.2,s,48.2,s,,,,
195,ФИО_195,40.34,t,"Команда ""АЭМ-ЦКБМ""",3,40.34,t,"Команда ""АЭМ-ЦКБМ""",3.0
196,ФИО_196,58.55,s,58.55,s,,,,
197,ФИО_197,26.18,s,26.18,s,,,,
198,ФИО_198,40.59111111,t,"Рабочее место 3   АО ""ТВЭЛ"" 1",2,40.59111111,t,"Рабочее место 3   АО ""ТВЭЛ"" 1",2.0
199,ФИО_199,31.75,s,31.75,s,,,,
200,ФИО_200,4.8,t,"АО ""ТВЭЛ"" 1",2,4.8,t,"АО ""ТВЭЛ"" 1",2.0
201,ФИО_201,30.93,s,30.93,s,,,,
202,ФИО_202,33.62,t,Экологические решения,2,33.62,t,Экологические решения,2.0
203,ФИО_203,51.38,s,51.38,s,,,,
204,ФИО_204,48.08,s,48.08,s,,,,
205,ФИО_205,51.8,t,"ФГУП ""Комбинат"" Электрохимприбор""",3,51.8,t,"ФГУП ""Комбинат"" Электрохимприбор""",3.0
206,ФИО_206,47.71,s,47.71,s,,,,
207,ФИО_207,35.63,s,35.63,s,,,,
208,ФИО_208,80.91,t,ЭХП,3,80.91,t,ЭХП,3.0
209,ФИО_209,32.05,s,32.05,s,,,,
210,ФИО_210,58.5,s,58.5,s,,,,
211,ФИО_211,17.28,t,"Команда АО ""Гринатом""",2,17.28,t,"Команда АО ""Гринатом""",2.0
212,ФИО_212,35.25,s,35.25,s,,,,
213,ФИО_213,25.39,s,25.39,s,,,,
214,ФИО_214,63.04,s,63.04,s,,,,
215,ФИО_215,64.88,t,"ЯОК ""ЭХП""",7,64.88,t,"ЯОК ""ЭХП""",7.0
216,ФИО_216,64.88,t,"ЯОК ""ЭХП""",7,64.88,t,"ЯОК ""ЭХП""",7.0
217,ФИО_217,54.86,s,54.86,s,,,,
218,ФИО_218,68.2,t,АЭХК,4,68.2,t,АЭХК,4.0
219,ФИО_219,5,t,ГСПИ_1,4,5,t,ГСПИ_1,4.0
220,ФИО_220,77.88,t,"АО ""КОНЦЕРН ТИТАН 2"" Команд 1",3,77.88,t,"АО ""КОНЦЕРН ТИТАН 2"" Команд 1",3.0
221,ФИО_221,43.67,t,ЯОК ЭХП,3,43.67,t,ЯОК ЭХП,3.0
222,ФИО_222,43.94,s,43.94,s,,,,
223,ФИО_223,43.11,s,43.11,s,,,,
224,ФИО_224,44.54,t,"АО ""ТВЭЛ"" 2",7,44.54,t,"АО ""ТВЭЛ"" 2",7.0
225,ФИО_225,45.05,t,РАО,2,45.05,t,РАО,2.0
226,ФИО_226,74.2,s,74.2,s,,,,
227,ФИО_227,5,t,МИФИ,4,5,t,МИФИ,4.0
228,ФИО_228,44.61333333,t,Рабочее место 2   Концерн команда 2,2,44.61333333,t,Рабочее место 2   Концерн команда 2,2.0
229,ФИО_229,74.5,t,№4,2,74.5,t,№4,2.0
230,ФИО_230,19,t,НИЯУ МИФИ,3,19,t,НИЯУ МИФИ,3.0
231,ФИО_231,63.4,s,63.4,s,,,,
232,ФИО_232,5.73,t,"АО ""РИР+АО ""ИРМ"" + ОКБ Гидропресс",2,5.73,t,"АО ""РИР+АО ""ИРМ"" + ОКБ Гидропресс",2.0
233,ФИО_233,34.3,s,34.3,s,,,,
234,ФИО_234,42.69,t,"АО ""ТВЭЛ"" 1",7,42.69,t,"АО ""ТВЭЛ"" 1",7.0
235,ФИО_235,5,t,МИФИ,4,5,t,МИФИ,4.0
236,ФИО_236,56.03,t,"Команда ""АСЭ""",7,56.03,t,"Команда ""АСЭ""",7.0
237,ФИО_237,59.39,t,"ЯОК ""МАЯК""",7,59.39,t,"ЯОК ""МАЯК""",7.0
238,ФИО_238,45.71,s,45.71,s,,,,
239,ФИО_239,85.7,s,85.7,s,,,,
240,ФИО_240,40.97,t,Браво,2,40.97,t,Браво,2.0
241,ФИО_241,65.33,t,АСЭ Team-2,3,65.33,t,АСЭ Team-2,3.0
242,ФИО_242,64.88,t,"ЯОК ""ЭХП""",7,64.88,t,"ЯОК ""ЭХП""",7.0
243,ФИО_243,53.3,s,53.3,s,,,,
244,ФИО_244,5,t,МАЯК_2_Фрэшмены,3,5,t,МАЯК_2_Фрэшмены,3.0
245,ФИО_245,54.65,s,54.65,s,,,,
246,ФИО_246,15.9,s,15.9,s,,,,
